# Cycle: 4521, status: ACC
#     Step              Filename       index    vel
         0   006_6985_trajF.traj         117     -1
         1   006_6985_trajF.traj         116     -1
         2   006_6985_trajF.traj         115     -1
         3   006_6985_trajF.traj         114     -1
         4   006_6985_trajF.traj         113     -1
         5   006_6985_trajF.traj         112     -1
         6   006_6985_trajF.traj         111     -1
         7   006_6985_trajF.traj         110     -1
         8   006_6985_trajF.traj         109     -1
         9   006_6985_trajF.traj         108     -1
        10   006_6985_trajF.traj         107     -1
        11   006_6985_trajF.traj         106     -1
        12   006_6985_trajF.traj         105     -1
        13   006_6985_trajF.traj         104     -1
        14   006_6985_trajF.traj         103     -1
        15   006_6985_trajF.traj         102     -1
        16   006_6985_trajF.traj         101     -1
        17   006_6985_trajF.traj         100     -1
        18   006_6985_trajF.traj          99     -1
        19   006_6985_trajF.traj          98     -1
        20   006_6985_trajF.traj          97     -1
        21   006_6985_trajF.traj          96     -1
        22   006_6985_trajF.traj          95     -1
        23   006_6985_trajF.traj          94     -1
        24   006_6985_trajF.traj          93     -1
        25   006_6985_trajF.traj          92     -1
        26   006_6985_trajF.traj          91     -1
        27   006_6985_trajF.traj          90     -1
        28   006_6985_trajF.traj          89     -1
        29   006_6985_trajF.traj          88     -1
        30   006_6985_trajF.traj          87     -1
        31   006_6985_trajF.traj          86     -1
        32   006_6985_trajF.traj          85     -1
        33   006_6985_trajF.traj          84     -1
        34   006_6985_trajF.traj          83     -1
        35   006_6985_trajF.traj          82     -1
        36   006_6985_trajF.traj          81     -1
        37   006_6985_trajF.traj          80     -1
        38   006_6985_trajF.traj          79     -1
        39   006_6985_trajF.traj          78     -1
        40   006_6985_trajF.traj          77     -1
        41   006_6985_trajF.traj          76     -1
        42   006_6985_trajF.traj          75     -1
        43   006_6985_trajF.traj          74     -1
        44   006_6985_trajF.traj          73     -1
        45   006_6985_trajF.traj          72     -1
        46   006_6985_trajF.traj          71     -1
        47   006_6985_trajF.traj          70     -1
        48   006_6985_trajF.traj          69     -1
        49   006_6985_trajF.traj          68     -1
        50   006_6985_trajF.traj          67     -1
        51   006_6985_trajF.traj          66     -1
        52   006_6985_trajF.traj          65     -1
        53   006_6985_trajF.traj          64     -1
        54   006_6985_trajF.traj          63     -1
        55   006_6985_trajF.traj          62     -1
