# Cycle: 2868, status: ACC, move: ('wf', 9000, 2, 110)
#     Time       Orderp
         0     0.307525
         1     0.311553
         2     0.315556
         3     0.319844
         4     0.323905
         5     0.327382
         6     0.331368
         7     0.335879
         8     0.340758
         9     0.345658
        10     0.348948
        11     0.350042
        12     0.349303
        13     0.347399
        14     0.345494
        15     0.342486
        16     0.337415
        17     0.333580
        18     0.332130
        19     0.333876
        20     0.338730
        21     0.343583
        22     0.348366
        23     0.350091
        24     0.349162
        25     0.348115
        26     0.346953
        27     0.346636
        28     0.346630
        29     0.347384
        30     0.348443
        31     0.348069
        32     0.343944
        33     0.337916
        34     0.332139
        35     0.326276
        36     0.320872
        37     0.317416
        38     0.316050
        39     0.317895
        40     0.323016
        41     0.328293
        42     0.334380
        43     0.338465
        44     0.339344
        45     0.337806
        46     0.335399
        47     0.332497
        48     0.329394
        49     0.326538
        50     0.324726
        51     0.322348
        52     0.320933
        53     0.320809
        54     0.322693
        55     0.328312
        56     0.336595
        57     0.344128
        58     0.349669
        59     0.355673
        60     0.361007
        61     0.363921
        62     0.364772
        63     0.362434
        64     0.357259
        65     0.352194
        66     0.349387
        67     0.348896
        68     0.347811
        69     0.346448
        70     0.344144
        71     0.343291
        72     0.343180
        73     0.342629
        74     0.342328
        75     0.340469
        76     0.339374
        77     0.338343
        78     0.339431
        79     0.341576
        80     0.341651
        81     0.340274
        82     0.337274
        83     0.335189
        84     0.334673
        85     0.336416
        86     0.338353
        87     0.338919
        88     0.339128
        89     0.340210
        90     0.342228
        91     0.345871
        92     0.350361
        93     0.353904
        94     0.355640
        95     0.354250
        96     0.354488
        97     0.354264
        98     0.350582
        99     0.343444
       100     0.338267
       101     0.335206
       102     0.334305
       103     0.334436
       104     0.332391
       105     0.328670
       106     0.324438
       107     0.318577
       108     0.311689
       109     0.304095
