# Cycle: 2894, status: ACC, move: None
#     Time       Orderp
         0     0.309689
         1     0.310636
         2     0.311434
         3     0.312717
         4     0.313574
         5     0.316118
         6     0.319361
         7     0.321181
         8     0.324788
         9     0.327479
        10     0.329156
        11     0.331269
        12     0.330593
        13     0.328660
        14     0.326420
        15     0.321690
        16     0.316023
        17     0.311626
        18     0.307564
