# Cycle: 4550, status: ACC
#     Step              Filename       index    vel
         0   000_7420_trajB.traj          10     -1
         1   000_7420_trajB.traj           9     -1
         2   000_7420_trajB.traj           8     -1
         3   000_7420_trajB.traj           7     -1
         4   000_7420_trajB.traj           6     -1
         5   000_7420_trajB.traj           5     -1
         6   000_7420_trajB.traj           4     -1
         7   000_7420_trajB.traj           3     -1
         8   000_7420_trajB.traj           2     -1
         9   000_7420_trajB.traj           1     -1
        10   000_7420_trajB.traj           0     -1
        11   000_7421_trajF.traj           1      1
        12   000_7421_trajF.traj           2      1
        13   000_7421_trajF.traj           3      1
        14   000_7421_trajF.traj           4      1
        15   000_7421_trajF.traj           5      1
        16   000_7421_trajF.traj           6      1
        17   000_7421_trajF.traj           7      1
        18   000_7421_trajF.traj           8      1
        19   000_7421_trajF.traj           9      1
        20   000_7421_trajF.traj          10      1
        21   000_7421_trajF.traj          11      1
        22   000_7421_trajF.traj          12      1
        23   000_7421_trajF.traj          13      1
        24   000_7421_trajF.traj          14      1
        25   000_7421_trajF.traj          15      1
        26   000_7421_trajF.traj          16      1
        27   000_7421_trajF.traj          17      1
        28   000_7421_trajF.traj          18      1
        29   000_7421_trajF.traj          19      1
        30   000_7421_trajF.traj          20      1
        31   000_7421_trajF.traj          21      1
        32   000_7421_trajF.traj          22      1
        33   000_7421_trajF.traj          23      1
        34   000_7421_trajF.traj          24      1
        35   000_7421_trajF.traj          25      1
        36   000_7421_trajF.traj          26      1
        37   000_7421_trajF.traj          27      1
        38   000_7421_trajF.traj          28      1
        39   000_7421_trajF.traj          29      1
        40   000_7421_trajF.traj          30      1
        41   000_7421_trajF.traj          31      1
        42   000_7421_trajF.traj          32      1
        43   000_7421_trajF.traj          33      1
        44   000_7421_trajF.traj          34      1
        45   000_7421_trajF.traj          35      1
        46   000_7421_trajF.traj          36      1
        47   000_7421_trajF.traj          37      1
        48   000_7421_trajF.traj          38      1
        49   000_7421_trajF.traj          39      1
        50   000_7421_trajF.traj          40      1
        51   000_7421_trajF.traj          41      1
        52   000_7421_trajF.traj          42      1
        53   000_7421_trajF.traj          43      1
        54   000_7421_trajF.traj          44      1
        55   000_7421_trajF.traj          45      1
        56   000_7421_trajF.traj          46      1
        57   000_7421_trajF.traj          47      1
        58   000_7421_trajF.traj          48      1
        59   000_7421_trajF.traj          49      1
