# Cycle: 4543, status: ACC
#     Step              Filename       index    vel
         0   002_6812_trajB.traj          15     -1
         1   002_6812_trajB.traj          14     -1
         2   002_6812_trajB.traj          13     -1
         3   002_6812_trajB.traj          12     -1
         4   002_6812_trajB.traj          11     -1
         5   002_6812_trajB.traj          10     -1
         6   002_6812_trajB.traj           9     -1
         7   002_6812_trajB.traj           8     -1
         8   002_6812_trajB.traj           7     -1
         9   002_6812_trajB.traj           6     -1
        10   002_6812_trajB.traj           5     -1
        11   002_6812_trajB.traj           4     -1
        12   002_6812_trajB.traj           3     -1
        13   002_6812_trajB.traj           2     -1
        14   002_6812_trajB.traj           1     -1
        15   002_6812_trajB.traj           0     -1
        16   002_6810_trajB.traj          11     -1
        17   002_6810_trajB.traj          10     -1
        18   002_6810_trajB.traj           9     -1
        19   002_6810_trajB.traj           8     -1
        20   002_6810_trajB.traj           7     -1
        21   002_6810_trajB.traj           6     -1
        22   002_6810_trajB.traj           5     -1
        23   002_6810_trajB.traj           4     -1
        24   002_6810_trajB.traj           3     -1
        25   002_6810_trajB.traj           2     -1
        26   002_6810_trajB.traj           1     -1
        27   002_6810_trajB.traj           0     -1
        28   002_6811_trajF.traj           1      1
        29   002_6811_trajF.traj           2      1
        30   002_6811_trajF.traj           3      1
        31   002_6811_trajF.traj           4      1
        32   002_6811_trajF.traj           5      1
        33   002_6811_trajF.traj           6      1
        34   002_6811_trajF.traj           7      1
        35   002_6811_trajF.traj           8      1
        36   002_6811_trajF.traj           9      1
        37   002_6811_trajF.traj          10      1
        38   002_6811_trajF.traj          11      1
        39   002_6811_trajF.traj          12      1
        40   002_6811_trajF.traj          13      1
        41   002_6811_trajF.traj          14      1
        42   002_6811_trajF.traj          15      1
        43   002_6811_trajF.traj          16      1
        44   002_6811_trajF.traj          17      1
        45   002_6811_trajF.traj          18      1
        46   002_6811_trajF.traj          19      1
        47   002_6811_trajF.traj          20      1
        48   002_6811_trajF.traj          21      1
        49   002_6811_trajF.traj          22      1
        50   002_6811_trajF.traj          23      1
        51   002_6811_trajF.traj          24      1
        52   002_6811_trajF.traj          25      1
        53   002_6811_trajF.traj          26      1
        54   002_6811_trajF.traj          27      1
        55   002_6811_trajF.traj          28      1
        56   002_6811_trajF.traj          29      1
        57   002_6811_trajF.traj          30      1
        58   002_6813_trajF.traj           0      1
        59   002_6813_trajF.traj           1      1
        60   002_6813_trajF.traj           2      1
        61   002_6813_trajF.traj           3      1
        62   002_6813_trajF.traj           4      1
        63   002_6813_trajF.traj           5      1
        64   002_6813_trajF.traj           6      1
        65   002_6813_trajF.traj           7      1
        66   002_6813_trajF.traj           8      1
        67   002_6813_trajF.traj           9      1
