# Cycle: 2938, status: ACC, move: ('wf', 9000, 2, 24)
#     Time       Orderp
         0     0.309087
         1     0.311177
         2     0.311894
         3     0.311866
         4     0.311862
         5     0.312071
         6     0.313265
         7     0.315595
         8     0.318269
         9     0.321559
        10     0.325806
        11     0.330623
        12     0.335668
        13     0.340088
        14     0.342241
        15     0.343575
        16     0.342343
        17     0.338963
        18     0.334155
        19     0.328507
        20     0.322954
        21     0.317926
        22     0.313630
        23     0.309776
