# Cycle: 2939, status: ACC, move: ('wf', 9000, 2, 32)
#     Time       Orderp
         0     0.302994
         1     0.313509
         2     0.323920
         3     0.334818
         4     0.344411
         5     0.348470
         6     0.350324
         7     0.353978
         8     0.357328
         9     0.359094
        10     0.360066
        11     0.362414
        12     0.364422
        13     0.365703
        14     0.368031
        15     0.369826
        16     0.367230
        17     0.364825
        18     0.362874
        19     0.358397
        20     0.353638
        21     0.347649
        22     0.341957
        23     0.337302
        24     0.331370
        25     0.324631
        26     0.318793
        27     0.315171
        28     0.313010
        29     0.311362
        30     0.310956
        31     0.309416
